Name,Code
Kingston,145
Halifax,118
Plainville,238
West Bridgewater,322
Mansfield,167
Millville,188
Blackstone,32
East Bridgewater,83
Longmeadow,159
Truro,300
Provincetown,242
Wrentham,350
Webster,316
Holland,135
East Longmeadow,85
Aquinnah,104
Nantucket,197
Chilmark,62
Edgartown,89
West Tisbury,327
Oak Bluffs,221
Tisbury,296
Falmouth,96
Fairhaven,94
Mashpee,172
Westport,334
Mattapoisett,173
Chatham,55
Dartmouth,72
Yarmouth,351
Harwich,126
Barnstable,20
New Bedford,201
Marion,169
Acushnet,3
Fall River,95
Dennis,75
Bourne,36
Sandwich,261
Somerset,273
Brewster,41
Rochester,250
Swansea,292
Freetown,102
Orleans,224
Dudley,80
Wales,306
Easton,88
Hanson,123
Duxbury,82
Douglas,77
Whitman,338
Hampden,120
Foxborough,99
Wareham,310
Berkley,27
Dighton,76
Eastham,86
Carver,52
Middleborough,182
Wellfleet,318
Seekonk,265
Lakeville,146
Rehoboth,247
Plymouth,239
Attleboro,16
Raynham,245
Taunton,293
Bridgewater,42
Norton,218
North Attleborough,211
Plympton,240
Tolland,297
Hanover,122
Monson,191
Stoughton,285
Northbridge,216
Springfield,281
Sharon,266
Marshfield,171
Milford,185
Charlton,54
West Springfield,325
Holbrook,133
Mount Washington,195
Rockland,251
Sturbridge,287
Sheffield,267
Medway,177
New Marlborough,203
Brimfield,43
Wilbraham,339
Sutton,290
Southwick,279
Agawam,5
Uxbridge,304
Southbridge,278
Pembroke,231
Brockton,44
Bellingham,25
Franklin,101
Mendon,179
Granville,112
Norfolk,208
Abington,1
Avon,18
Hopedale,138
Montgomery,194
Warren,311
Monterey,193
Scituate,264
Westwood,335
Blandford,33
Otis,225
Weymouth,336
Cohasset,65
Sherborn,269
Hingham,131
Norwell,219
Hopkinton,139
Great Barrington,113
Milton,189
Oxford,226
Sandisfield,260
Norwood,220
Medfield,175
Chicopee,61
Millis,187
Walpole,307
Randolph,244
Westfield,329
Canton,50
Upton,303
Auburn,17
Russell,256
Egremont,90
Ludlow,161
Dedham,73
Dover,78
Southampton,276
Leicester,151
Ashland,14
Millbury,186
Holliston,136
Braintree,40
Brookfield,45
East Brookfield,84
Palmer,227
Grafton,110
New Braintree,202
Stockbridge,283
West Stockbridge,326
Newton,207
Westhampton,331
Marlborough,170
Northampton,214
Lee,150
Watertown,314
Winthrop,346
Boylston,39
Washington,313
Hatfield,127
Hadley,117
Holden,134
Arlington,10
Clinton,64
Middlefield,183
Weston,333
Holyoke,137
Easthampton,87
Tyringham,302
West Brookfield,323
Westborough,328
Quincy,243
North Brookfield,212
South Hadley,275
Spencer,280
Granby,111
Alford,6
Hull,142
Needham,199
Wellesley,317
Southborough,277
Natick,198
Shrewsbury,271
Worcester,348
Paxton,228
Becket,22
Brookline,46
Huntington,143
Chester,59
Framingham,100
Ware,309
Belchertown,24
Northborough,215
Peru,233
Swampscott,291
Sterling,282
Hinsdale,132
Stoneham,284
Concord,67
New Ashford,200
Hancock,121
Athol,15
Shelburne,268
Westford,330
Chelmsford,56
Cambridge,49
Oakham,222
West Boylston,321
Hudson,141
Wayland,315
Chelsea,57
Belmont,26
Berlin,28
Somerville,274
Hardwick,124
Pelham,230
Waltham,308
Everett,93
Lenox,152
Saugus,262
Cummington,69
Lynn,163
Shutesbury,272
Sudbury,288
Amherst,8
Richmond,249
Chesterfield,60
Malden,165
Rutland,257
Maynard,174
Revere,248
Nahant,196
Goshen,108
Lexington,155
Medford,176
Worthington,349
Williamsburg,340
Lincoln,157
Stow,286
Winchester,344
Melrose,178
Whately,337
Bolton,34
Barre,21
Phillipston,235
Gardner,103
Buckland,47
Shirley,270
Hawley,129
Fitchburg,97
Erving,91
Middleton,184
Lunenburg,162
Gill,106
Rockport,252
Tyngsborough,301
Andover,9
Dunstable,81
Sunderland,289
Pittsfield,236
Princeton,241
Boxborough,37
Leverett,154
Marblehead,168
Bedford,23
Woburn,347
Wakefield,305
Acton,2
Lancaster,147
Burlington,48
Salem,258
Hubbardston,140
New Salem,204
Petersham,234
Harvard,125
Dalton,70
Carlisle,51
Plainfield,237
Reading,246
Windsor,345
Peabody,229
Leominster,153
Lynnfield,164
Ashfield,13
Littleton,158
Ayer,19
Deerfield,74
Conway,68
Beverly,30
Lanesborough,148
Manchester,166
North Reading,213
Danvers,71
Montague,192
Cheshire,58
Wenham,320
Wendell,319
Billerica,31
Wilmington,342
Templeton,294
Westminster,332
Leyden,156
North Andover,210
Georgetown,105
Clarksburg,63
Rowley,254
Williamstown,341
Groveland,116
Methuen,181
Newbury,205
West Newbury,324
Haverhill,128
Newburyport,206
Merrimac,180
Tewksbury,295
Savoy,263
Greenfield,114
Hamilton,119
Groton,115
Gloucester,107
Lowell,160
Adams,4
Topsfield,298
Essex,92
Orange,223
Charlemont,53
Boston,35
Monroe,190
Florida,98
Colrain,66
Heath,130
Rowe,253
Pepperell,232
Townsend,299
Ashby,12
Ashburnham,11
Winchendon,343
Lawrence,149
Royalston,255
North Adams,209
Warwick,312
Northfield,217
Ipswich,144
Bernardston,29
Dracut,79
Boxford,38
Amesbury,7
Salisbury,259
Gosnold,109
